"Ciudad","Alimentos y bebidas no alcohólicas","Bebidas alcohólicas y tabaco","Prendas de vestir y calzado","Alojamiento, agua, electricidad, gas y otros combustibles","Muebles, artículos para el hogar y para la conservación ordinaria del hogar","Salud","Transporte","Información y comunicación","Recreación y cultura","Educación","Restaurantes y hoteles","Bienes y servicios diversos"
"Arauca","76.532495732222799","11.9837775798393","21.0652290475971","158.95274643344101","15.040745015399599","11.7932849067154","20.656259874888001","20.4045605207417","11.5233166744628","24.240346669699399","44.1305455864198","55.110519459848"
"Armenia","104.227191573494","18.6103921481801","39.651620519081206","174.252141344477","26.524739039825999","14.846363540829199","71.426342592844591","30.4867300760714","28.1486279042864","58.902919041785097","62.735795328570603","145.31722128687102"
"Barrancabermeja","73.4956409538852","23.5115509840222","25.204019581783502","218.377925410328","16.637673416783699","8.367647760820061","51.842836952937098","25.653362718451","12.8530224533236","68.650880319649602","42.090618523953303","58.657609296416396"
"Barranquilla","85.059420545021098","16.028607509039102","23.7984841618537","204.79277708250902","20.162867297998602","7.7851535329329797","61.043239735143501","24.506066893860101","12.261521849487201","58.348580723073297","54.051667139353306","72.252968538399998"
"Bogotá","103.561150200998","21.839433564460599","42.814235810800305","295.817640237376","34.168081649523302","27.459289035399202","111.87080640132601","40.6574565497734","36.484350435132995","134.933249039782","94.643529267345286","236.88754496286501"
"Bucaramanga y A.M.","116.11246660960501","19.981523487581999","30.144927803443501","256.090343012978","27.260033195570198","16.972276422467502","78.576803603918108","31.049533958511201","22.856328561639398","64.6100278380475","89.829778622929297","118.63396006334699"
"Buenaventura","74.4144736085793","18.749509806214302","33.9206309744268","100.721848527413","14.785593405374401","10.3090103083783","44.94718817231","14.826085508038402","13.862573504042201","21.516011258359203","40.448879514593202","72.893234539231699"
"Cali","90.463306411160104","22.1612394537201","35.856514502574399","197.55426600323401","29.995526093334501","20.044607854478102","72.360644823967107","31.50127141762","27.802991114082001","62.607941766914898","70.3261221723034","123.91149811596999"
"Cartagena","94.4854370981203","24.2193998419046","28.301652598186401","193.80726308010802","18.063491781936598","10.437484468134199","66.499727174168399","21.924100212133197","11.944413263023501","37.705149751108898","50.184375434462901","60.895682272666001"
"Cúcuta y A.M.","89.633474302371496","16.065220889734501","26.0287190623723","151.93321616745899","18.0915813372382","9.8918171416115808","46.378869332531906","22.120937200649898","15.9693343096777","29.535055095639898","55.6079821240006","76.857188437928599"
"Florencia","71.930753637966902","18.124957927791201","26.395075309860399","126.34653719015401","16.419158850723701","8.3563550453377697","48.050793117792701","20.559779422413701","9.4080958974560716","26.025098550485399","31.056098548593702","63.751588984921206"
"Ibagué","84.9562450032642","14.1219612940757","27.356102408596499","180.23574992673699","21.0254619646702","18.444350243567701","58.550088660019199","28.328417919755001","17.6544394148045","48.337891286751102","48.880213604186402","111.152947328333"
"Inírida","64.902851853791205","35.8534681965658","24.9894969850683","113.995633221064","14.4673640094378","9.8405357498773309","16.994631513165199","10.939522321719799","16.455849070242198","79.863338916844398","34.905052340276598","60.996283926890605"
"Leticia","86.557062018587501","17.119319803758","17.754687452366401","146.73363331006499","11.652350677795798","4.9060211072343503","19.132437474370999","19.4443069655035","10.0192468545327","52.314233250031904","44.5798240571322","36.191634730391506"
"Manizales y A.M.","102.9008819658","23.313631042730002","42.795810913198494","210.23845114924501","28.0101051830997","17.577595555097801","92.665974301304999","34.479539608026201","28.1045286156195","63.279903630230997","57.231951096810803","149.11889968797701"
"Medellín y A.M.","98.839123087942696","21.0105762195948","42.181923082211","235.01713297077299","25.446848639058299","20.6065554256365","88.993156558210501","34.206318129571599","32.501667895950902","67.848051238404906","61.396269976947501","146.07790404321599"
"Mitú","93.868688131488796","13.165925840979201","18.770933881968698","93.738022644869901","10.3012822072821","4.4570248362803904","13.8542391442066","12.378587885316099","10.9960557584038","24.768540882963801","34.912982038300598","58.681015316633001"
"Mocoa","74.748099831852997","30.315457987296398","29.7848342463111","126.62417722401601","15.454576684201299","14.7661517931224","37.319593466942898","22.541535548195","9.9563488367231088","40.292006329448796","52.710365337397398","59.412735233149704"
