Id_Cliente,Genero,Edad,Ingreso,Puntaje_Gasto
1,Mujer,41,98115.05,39
2,Mujer,20,35458.14,75
3,Mujer,68,59872.08,55
4,Hombre,63,48508.93,51
5,Mujer,31,44431.11,54
6,Hombre,31,24905.79,73
7,Mujer,32,76984.43,74
8,Hombre,19,46278.66,59
9,Hombre,28,102348.09,68
10,Mujer,24,19720.65,77
11,Mujer,44,77701.57,20
12,Hombre,25,22531.85,73
13,Hombre,67,52200.84,41
14,Mujer,34,80575.78,22
15,Hombre,28,77067.19,97
16,Hombre,35,28813.45,61
17,Hombre,59,71651.08,11
18,Mujer,32,103654.79,69
19,Hombre,58,87736.61,15
20,Mujer,40,70469.66,58
21,Mujer,40,58810.62,40
22,Mujer,40,29740.62,31
23,Mujer,23,62156.31,41
24,Hombre,34,77780.87,1
25,Mujer,38,66633.81,40
26,Hombre,48,52636.91,46
27,Mujer,18,63084.8,48
28,Hombre,59,94049.49,14
29,Hombre,38,71752.69,75
30,Mujer,45,27835.26,32
31,Mujer,49,41739.84,52
32,Hombre,67,61526.42,59
33,Mujer,29,98037.92,88
34,Hombre,18,48849.64,59
35,Mujer,45,55041.39,53
36,Mujer,19,64927.42,50
37,Hombre,19,13458.02,39
38,Hombre,25,75943.71,12
39,Mujer,23,71427.64,29
40,Mujer,50,57901.26,46
41,Mujer,29,39397.61,42
42,Mujer,47,120420.3,16
43,Mujer,49,40247.19,28
44,Mujer,29,77996.3,83
45,Mujer,20,18284.38,6
46,Mujer,51,66476.37,43
47,Mujer,36,87518.11,27
48,Mujer,22,57444.83,55
49,Mujer,25,70888.72,34
50,Mujer,29,73885.82,88
51,Mujer,38,114854.15,91
52,Hombre,36,86835.03,10
53,Mujer,23,19113.29,94
54,Hombre,43,77797.11,17
55,Mujer,49,67219.48,59
56,Mujer,31,38950.66,61
57,Hombre,19,73129.7,10
58,Mujer,35,75501.44,72
59,Hombre,28,85808.16,75
60,Hombre,36,89045.12,92
61,Hombre,32,73360.3,93
62,Mujer,27,77062.13,89
63,Mujer,56,80565.01,35
64,Hombre,32,88354.81,63
65,Mujer,54,30098.74,14
66,Mujer,66,62291.26,50
67,Mujer,58,19617.67,15
68,Mujer,47,80051.74,16
69,Mujer,47,60769.7,47
70,Hombre,30,98635.76,97
71,Hombre,32,72987.44,73
72,Hombre,18,32982.99,92
73,Hombre,54,61146.17,46
74,Hombre,60,29942.8,4
75,Hombre,18,59967.7,41
76,Mujer,34,58250.52,60
77,Hombre,26,57584.3,54
78,Mujer,38,76723.04,76
79,Mujer,52,88549.15,13
80,Mujer,50,67454.71,57
81,Hombre,34,77714.78,90
82,Mujer,57,74583.87,5
83,Mujer,45,126685.78,28
84,Hombre,59,54475.76,47
85,Mujer,55,58838.53,58
86,Mujer,32,47093.94,47
87,Hombre,48,76915.72,36
88,Mujer,31,80495.35,93
