"","titulo","duracion","voto_promedio","numero_votos","ano","genero"
"1","Toy Story",81,7.7,5415,1995,"animacion"
"2","Toy Story",81,7.7,5415,1995,"comedia"
"3","Jumanji",104,6.9,2413,1995,"adventura"
"4","Jumanji",104,6.9,2413,1995,"fantasia"
"5","Grumpier Old Men",101,6.5,92,1995,"romance"
"6","Grumpier Old Men",101,6.5,92,1995,"comedia"
"7","Waiting to Exhale",127,6.1,34,1995,"comedia"
"8","Waiting to Exhale",127,6.1,34,1995,"drama"
"9","Waiting to Exhale",127,6.1,34,1995,"romance"
"10","Father of the Bride Part II",106,5.7,173,1995,"comedia"
"11","Heat",170,7.7,1886,1995,"accion"
"12","Heat",170,7.7,1886,1995,"drama"
"13","Heat",170,7.7,1886,1995,"suspenso"
"14","Sabrina",127,6.2,141,1995,"comedia"
"15","Sabrina",127,6.2,141,1995,"romance"
"16","Tom and Huck",97,5.4,45,1995,"accion"
"17","Tom and Huck",97,5.4,45,1995,"adventura"
"18","Tom and Huck",97,5.4,45,1995,"drama"
"19","Sudden Death",106,5.5,174,1995,"accion"
"20","Sudden Death",106,5.5,174,1995,"adventura"
"21","Sudden Death",106,5.5,174,1995,"suspenso"
"22","GoldenEye",130,6.6,1194,1995,"adventura"
"23","GoldenEye",130,6.6,1194,1995,"accion"
"24","GoldenEye",130,6.6,1194,1995,"suspenso"
"25","The American President",106,6.5,199,1995,"comedia"
"26","The American President",106,6.5,199,1995,"drama"
"27","The American President",106,6.5,199,1995,"romance"
"28","Dracula: Dead and Loving It",88,5.7,210,1995,"comedia"
"29","Dracula: Dead and Loving It",88,5.7,210,1995,"terror"
"30","Balto",78,7.1,423,1995,"animacion"
"31","Balto",78,7.1,423,1995,"adventura"
"32","Nixon",192,7.1,72,1995,"drama"
"33","Cutthroat Island",119,5.7,137,1995,"accion"
"34","Cutthroat Island",119,5.7,137,1995,"adventura"
"35","Casino",178,7.8,1343,1995,"drama"
"36","Sense and Sensibility",136,7.2,364,1995,"drama"
"37","Sense and Sensibility",136,7.2,364,1995,"romance"
"38","Four Rooms",98,6.5,539,1995,"comedia"
"39","Ace Ventura: When Nature Calls",90,6.1,1128,1995,"comedia"
"40","Ace Ventura: When Nature Calls",90,6.1,1128,1995,"adventura"
"41","Money Train",103,5.4,224,1995,"accion"
"42","Money Train",103,5.4,224,1995,"comedia"
"43","Get Shorty",105,6.4,305,1995,"comedia"
"44","Get Shorty",105,6.4,305,1995,"suspenso"
"45","Copycat",124,6.5,199,1995,"drama"
"46","Copycat",124,6.5,199,1995,"suspenso"
