link;scrapeado
/Restaurant_Review-g294074-d10003846-Reviews-Asadero_Cimarron_del_Llano-Bogota.html;False
/Restaurant_Review-g294074-d10010704-Reviews-Bodeguita_Bites-Bogota.html;False
/Restaurant_Review-g294074-d10024522-Reviews-Restaurante_184-Bogota.html;False
/Restaurant_Review-g294074-d10026176-Reviews-San_Gines-Bogota.html;False
/Restaurant_Review-g294074-d10028246-Reviews-Demetria-Bogota.html;False
/Restaurant_Review-g294074-d10028929-Reviews-1885_Burger_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10033984-Reviews-La_Ponderosa-Bogota.html;False
/Restaurant_Review-g294074-d10036064-Reviews-Figueroa_Restaurante_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10036260-Reviews-The_Market-Bogota.html;False
/Restaurant_Review-g294074-d10039585-Reviews-Kurenai_Maid_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d10040769-Reviews-La_Toscana-Bogota.html;False
/Restaurant_Review-g294074-d10042269-Reviews-La_Chombita-Bogota.html;False
/Restaurant_Review-g294074-d10042516-Reviews-Candelaria_Cultural-Bogota.html;False
/Restaurant_Review-g294074-d10043020-Reviews-Piqueteadero_Don_Chucho-Bogota.html;False
/Restaurant_Review-g294074-d10043070-Reviews-Kanka_Peru-Bogota.html;False
/Restaurant_Review-g294074-d10043695-Reviews-Rey_Guerrero_Sabor_Pacifico-Bogota.html;False
/Restaurant_Review-g294074-d10047208-Reviews-La_Cerveceria-Bogota.html;False
/Restaurant_Review-g294074-d10047378-Reviews-Cuatrovientos-Bogota.html;False
/Restaurant_Review-g294074-d10050006-Reviews-Olivas-Bogota.html;False
/Restaurant_Review-g294074-d10050100-Reviews-La_Cocina_Peruana-Bogota.html;False
/Restaurant_Review-g294074-d10056464-Reviews-Restaurante_Parque_La_Conejera-Bogota.html;False
/Restaurant_Review-g294074-d10057532-Reviews-Hamburguesas_de_Dubban-Bogota.html;False
/Restaurant_Review-g294074-d10063161-Reviews-Amarillo-Bogota.html;False
/Restaurant_Review-g294074-d10063195-Reviews-Pizza_Hojaldre-Bogota.html;False
/Restaurant_Review-g294074-d10063698-Reviews-Restaurante_Sopitas_Frijolada-Bogota.html;False
/Restaurant_Review-g294074-d10066496-Reviews-Restaurante_El_Paso_Steak_House-Bogota.html;False
/Restaurant_Review-g294074-d10066841-Reviews-Bocatto_di_Passo-Bogota.html;False
/Restaurant_Review-g294074-d10066860-Reviews-The_Pub_Usaquen-Bogota.html;False
/Restaurant_Review-g294074-d10067251-Reviews-Cabaret_Restaurante_Show-Bogota.html;False
/Restaurant_Review-g294074-d10067284-Reviews-Diner_Unicentro-Bogota.html;False
/Restaurant_Review-g294074-d10067312-Reviews-Teriyaki_Sushi_Bar_Av_19-Bogota.html;False
/Restaurant_Review-g294074-d10073457-Reviews-Chino_Bonsai-Bogota.html;False
/Restaurant_Review-g294074-d10076258-Reviews-Taco_Loco-Bogota.html;False
/Restaurant_Review-g294074-d10077402-Reviews-La_Cartagenita-Bogota.html;False
/Restaurant_Review-g294074-d10084775-Reviews-Casa_de_la_Cultura_Colombo_Portuguesa_O_Galo-Bogota.html;False
/Restaurant_Review-g294074-d10090497-Reviews-Vanniak-Bogota.html;False
/Restaurant_Review-g294074-d10091378-Reviews-Canasto_Picnic_Bistro-Bogota.html;False
/Restaurant_Review-g294074-d10093255-Reviews-Da_Quei_Matti_Hayuelos-Bogota.html;False
/Restaurant_Review-g294074-d10093526-Reviews-Macadamia_Restaurante_Parrilla_Argentina-Bogota.html;False
/Restaurant_Review-g294074-d10103971-Reviews-Cosiaca_Plaza_Imperial-Bogota.html;False
/Restaurant_Review-g294074-d10107332-Reviews-Country_s_Pizza-Bogota.html;False
/Restaurant_Review-g294074-d10107384-Reviews-La_Joya_Jardin_Comedor-Bogota.html;False
/Restaurant_Review-g294074-d10108546-Reviews-Sagal-Bogota.html;False
/Restaurant_Review-g294074-d10110376-Reviews-Candelario-Bogota.html;False
/Restaurant_Review-g294074-d10110468-Reviews-Maracca_Parilla-Bogota.html;False
/Restaurant_Review-g294074-d10110827-Reviews-Hamburguesas_El_Corral_Campestre-Bogota.html;False
/Restaurant_Review-g294074-d10119807-Reviews-A_La_Postre_Reposteria-Bogota.html;False
/Restaurant_Review-g294074-d10124312-Reviews-Panaderia_y_Pasteleria_Jireth-Bogota.html;False
/Restaurant_Review-g294074-d10127581-Reviews-By_Sushi_Ink-Bogota.html;False
/Restaurant_Review-g294074-d10133330-Reviews-Kuna_Peru-Bogota.html;False
/Restaurant_Review-g294074-d10134649-Reviews-El_Corral_Gourmet_Salitre_Plaza_Centro_Comercial-Bogota.html;False
/Restaurant_Review-g294074-d10134884-Reviews-More_Food-Bogota.html;False
/Restaurant_Review-g294074-d10136668-Reviews-Samurai_Ya_Cocina_Japonesa-Bogota.html;False
/Restaurant_Review-g294074-d1013733-Reviews-Bogota_Beer_Company-Bogota.html;False
/Restaurant_Review-g294074-d10149238-Reviews-Braille-Bogota.html;False
/Restaurant_Review-g294074-d10157426-Reviews-Rock_and_Roll_Circus-Bogota.html;False
/Restaurant_Review-g294074-d10157552-Reviews-Dimar-Bogota.html;False
/Restaurant_Review-g294074-d1016066-Reviews-El_Carnal_Comida_Mexicana_al_Pastor-Bogota.html;False
/Restaurant_Review-g294074-d10161655-Reviews-M_Cocina_Arabe-Bogota.html;False
/Restaurant_Review-g294074-d10161873-Reviews-La_Cocina_de_Dianis-Bogota.html;False
/Restaurant_Review-g294074-d10165946-Reviews-Speak_Easy-Bogota.html;False
/Restaurant_Review-g294074-d10166168-Reviews-Cafe_de_las_Letras-Bogota.html;False
/Restaurant_Review-g294074-d10166177-Reviews-Anna_Otto-Bogota.html;False
/Restaurant_Review-g294074-d10166349-Reviews-Restaurante_Parador_Tropical-Bogota.html;False
/Restaurant_Review-g294074-d10166549-Reviews-Picanteria_Ipiales-Bogota.html;False
/Restaurant_Review-g294074-d10166565-Reviews-Empanadas_de_la_53-Bogota.html;False
/Restaurant_Review-g294074-d10166592-Reviews-Restaurante_Chiguire_53-Bogota.html;False
/Restaurant_Review-g294074-d10166741-Reviews-Hanashi_Sushi_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10166748-Reviews-Canoas-Bogota.html;False
/Restaurant_Review-g294074-d10167436-Reviews-Seiki_Sushi-Bogota.html;False
/Restaurant_Review-g294074-d10170373-Reviews-Asadero_La_32-Bogota.html;False
/Restaurant_Review-g294074-d10171789-Reviews-Asadero_Angus_and_Roastbeef-Bogota.html;False
/Restaurant_Review-g294074-d10174701-Reviews-El_Saludable-Bogota.html;False
/Restaurant_Review-g294074-d10175007-Reviews-Oriental_Express-Bogota.html;False
/Restaurant_Review-g294074-d10176425-Reviews-Asadero_Pollo_Brujo-Bogota.html;False
/Restaurant_Review-g294074-d10177489-Reviews-Papaya_Capital_Gourmet-Bogota.html;False
/Restaurant_Review-g294074-d10178585-Reviews-Bier_Market-Bogota.html;False
/Restaurant_Review-g294074-d10179419-Reviews-La_Balsa_Marina_SAS-Bogota.html;False
/Restaurant_Review-g294074-d10179689-Reviews-Hips_Galeria_Restaurante-Bogota.html;False
/Restaurant_Review-g294074-d10179705-Reviews-La_Ventana_De_Magritte-Bogota.html;False
/Restaurant_Review-g294074-d10182704-Reviews-Piu_Cafe_Lavazza-Bogota.html;False
/Restaurant_Review-g294074-d10184238-Reviews-Wingz-Bogota.html;False
/Restaurant_Review-g294074-d10191198-Reviews-El_Meson_del_Virrey-Bogota.html;False
/Restaurant_Review-g294074-d10192086-Reviews-Makisu-Bogota.html;False
/Restaurant_Review-g294074-d10193898-Reviews-Carmelo_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d10195261-Reviews-Sopas_Arepas_Y_Carnes-Bogota.html;False
/Restaurant_Review-g294074-d10200223-Reviews-Willi_s_Pizza-Bogota.html;False
/Restaurant_Review-g294074-d10200772-Reviews-Preisz_Pasteleria-Bogota.html;False
/Restaurant_Review-g294074-d10201333-Reviews-Carbon_Place_147-Bogota.html;False
/Restaurant_Review-g294074-d1020651-Reviews-El_Chalet_Suizo-Bogota.html;False
/Restaurant_Review-g294074-d10206811-Reviews-Pequena_Italia-Bogota.html;False
/Restaurant_Review-g294074-d10206865-Reviews-Buffalo_Wings-Bogota.html;False
/Restaurant_Review-g294074-d10209083-Reviews-Magentha_bisttro-Bogota.html;False
/Restaurant_Review-g294074-d10218378-Reviews-La_Penela-Bogota.html;False
/Restaurant_Review-g294074-d10226875-Reviews-Pick_Up_Express-Bogota.html;False
/Restaurant_Review-g294074-d10227293-Reviews-Sushi_Toc-Bogota.html;False
/Restaurant_Review-g294074-d10235119-Reviews-Shawarma_El_Arabito-Bogota.html;False
/Restaurant_Review-g294074-d10243889-Reviews-Sbarro-Bogota.html;False
/Restaurant_Review-g294074-d10244201-Reviews-San_Francisco_Cafe_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10246308-Reviews-Bogota_Beer_Company-Bogota.html;False
/Restaurant_Review-g294074-d10246956-Reviews-La_Sagrada_Pizzeria-Bogota.html;False
/Restaurant_Review-g294074-d10248253-Reviews-Casa_Brava-Bogota.html;False
