"texto","titulo","pagina"
"Introducción Noam Chomsky. Avram Noam Chomsky es uno de los lingüistas e intelectuales más relevantes e influyentes de toda la segunda mitad del siglo XX y principio del XXI. Hoy, cuando tan fácil resulta cuantificarlo todo, se sabe que es el pensador más citado en el campo de las humanidades. Su ingente obra ha transformado parcial o completamente diversos campos de estudio: la lingüística, las ciencias cognitivas y la política. Como el dios romano Jano, que tenía dos rostros orientados en direcciones opuestas, Chomsky ha trabajado paralelamente en la lingüística —construyendo un modelo teórico nuevo, la «gramática generativa», muy conectado a las capacidades cognitivas de la mente— y en la política, como crítico del poder global de Estados Unidos, de su militarización y dominio mundial, de la perversión del sistema democrático y de la función propagandística y casi totalitaria de determinados medios de comunicación de masas en las sociedades occidentales. Si su tarea en lingüística ha sido eminentemente teórica —entender cómo funciona el lenguaje enclavado en la mente—, su labor política ha tenido también una vertiente práctica, activista: la de contribuir a cambiar las instituciones y la dinámica del supuesto mundo democrático a partir de un análisis profundo de las fuerzas, los intereses y los organismos que lo determinan, a menudo desde la sombra. Que haya logrado sacar a escena poderes fácticos que desearían permanecer invisibles, que haya mostrado a miles y tal vez millones de personas cómo funcionan realmente la política, el poder y las comunicaciones estadounidenses, es una consecución intelectual revolucionaria de igual envergadura que la que ha alcanzado en el campo de la lingüística. La producción de Chomsky es ingente. Cerca de un centenar de libros, cientos de artículos y miles de discursos, todo ello completado con incontables entrevistas y cartas. Esta portentosa capacidad comunicativa está basada en un conocimiento muy riguroso de las cuestiones que trata en los dos campos de su actividad. Su mentalidad es científica, analítica. No se permite ninguna afirmación gratuita e infundada, ni siquiera de orden hipotético o conjetural. Sabe que sus ideas son tan opuestas a las dominantes que necesita fundamentarlas en las bases conceptuales y empíricas más firmes; de lo contrario, las muchas instancias poderosas interesadas en acallar su voz crítica se apresurarían a derribar","Chomsky",1
"toda su construcción intelectual. Si de algo no cabe dudar en su tarea, pues, es del más autoexigente rigor científico e intelectual, surgido tanto del propio talante personal como de la necesidad pragmática de crear un discurso compacto y sin fisuras. Hay una clara disparidad en la percepción pública de Chomsky como lingüista y como pensador y activista político. En el primer ámbito es una gran autoridad, posiblemente la máxima autoridad mundial. Su gramática generativa ha creado un paradigma tan potente en el estudio del lenguaje y de la mente humanos, que cualquier lingüista de los últimos sesenta años, partidario o contrario a esta teoría, ha tenido que definirse respecto a ella. No es posible analizar el lenguaje humano prescindiendo de Chomsky: aunque solo sea para rechazar o refutar sus ideas, todo científico en este campo debe posicionarse. En claro contraste con la publicidad que tiene su teoría del lenguaje, las ideas políticas de Chomsky son objeto de una marginación deliberada en los medios de comunicación dominantes, lo cual no resulta, por cierto, nada extraño. Pocos críticos, si es que alguno, tan radicales, informados y coherentes ha tenido el sistema capitalista estadounidense y global como este lingüista metido a analista del poder político, económico y mediático, y a infatigable activista contra la opresión y en favor de la libertad y la dignidad de los seres humanos. Chomsky es, como veremos, un anarquista libertario que —según algunos, de modo contradictorio— cree a un mismo tiempo en la libertad del individuo y en el poder de la comunidad. Desde su perspectiva, ambos deben nutrirse y reforzarse mutuamente. Este punto de vista es lo más contrario que pueda concebirse al neoliberalismo capitalista imperante, que en su afán por crear mercados económicos desregulados y eximidos de cualquier responsabilidad social y humana, ha socavado las bases de cohesión y solidaridad comunitarias, al tiempo que ha coartado la libertad de muchas personas. Con su idealismo y activismo un tanto quijotescos —en el mejor sentido de la expresión— contra el mundo corporativo norteamericano, fusionado con la política y con los medios de comunicación dominantes, Chomsky se ha convertido en un personaje molesto, irritante, para los poderosos. Ha importunado, y mucho, su denuncia de las falsedades, las mentiras y la desinformación en situaciones","Chomsky",2
"tales como la ya lejana Guerra de Vietnam (la guerra más prolongada de los Estados Unidos, solo comprensible desde la lógica de la Guerra Fría), el neocolonialismo en América del Sur, el totalitarismo económico capitalista y la «guerra contra el terrorismo» impulsada por la administración estadounidense, así como las diversas incursiones militares en el Golfo Pérsico. No es de extrañar, pues, que su presencia en los medios mainstream esté muy limitada, que se le nieguen a menudo espacios públicos para expresarse. Su ideario anarco-libertario no es asimilable para estos medios, y por lo tanto se le rechaza. Pero este ostracismo de la prensa corporativa es compensado con su aparición constante en los medios alternativos e independientes, congresos altermundistas y, con la llegada de las nuevas tecnologías, el gran abanico de posibilidades que ofrece internet. Para ser un pensador sistemática y deliberadamente marginado, Chomsky tiene una audiencia enorme. La diferencia, al fin y al cabo, es que en lingüística y ciencia cognitiva es un pensador central y de referencia obligada, mientras que en política y comunicaciones es un outsider muy atendido en los márgenes. La formación de un intelectual El Instituto Tecnológico de Massachusetts (MIT). Pero, ¿quién es Chomsky en realidad? ¿Cuáles son los orígenes de este intelectual y científico, y de dónde proviene su gran presencia mediática en relación con temas de actualidad política, militar, social y económica? En definitiva, ¿qué hay detrás del hombre, y qué hay detrás de sus ideas? Noam Chomsky nació el 7 de diciembre de 1928 en Filadelfia y estudió en la Universidad de Pensilvania, donde se doctoró en 1955. Durante aquellos años, formó parte del programa «Society of Fellows» de la Universidad de Harvard, que lo becó y apoyó su investigación. Ese es el primer elemento clave a tener en cuenta para entender a Noam Chomsky: su prestigio se ha forjado en el ambiente intelectual de Cambridge, en Massachusetts (Estados Unidos), entre Harvard y el MIT. Hablamos del lugar en que, en esencia, se juntan las mejores mentes en los Estados Unidos, y en el que se pone a disposición de ellas todos los recursos necesarios, materiales e inmateriales, para que sus ideas nazcan y se desarrollen. El sistema universitario norteamericano es el primero del mundo porque dispone de","Chomsky",3
"un sistema de financiación sin parangón, que destaca por su capacidad para combinar fondos privados con el apoyo de las instituciones públicas y, cabe añadir, del ejército: la mayor parte de las investigaciones que se efectúan en el MIT, por ejemplo, han sido y siguen siendo financiadas porque se considera que en algún momento pueden ser relevantes desde el punto de vista militar. Muchos genios en diversos campos del saber se han beneficiado de esta situación: así, si observamos sobre todo los primeros libros de Noam Chomsky —inofensivos libros de lingüística— se encuentra siempre un agradecimiento a algún cuerpo del ejército y el reconocimiento de que «esta investigación ha contado con el apoyo de…». La historia de Chomsky también es esta: una historia que se ha desarrollado en el extraordinario fervor intelectual de Cambridge, Massachusetts. Después de su doctorado, Chomsky dejó Harvard y se incorporó al equipo del MIT (Massachusetts Institute of Technology), contratado por el lingüista Morris Halle, quien propuso incorporarlo al laboratorio de electrónica. Se dice que Harvard era, en especial en aquella época, una institución que, aunque dedicada a la investigación, podía considerarse muy conservadora: no debe sorprendernos, pues, que Noam aceptara la oferta del MIT, donde llegó a ser profesor. Morris Halle era un judío letón que había emigrado a los Estados Unidos justo antes de la Segunda Guerra Mundial y que se había graduado en ingeniería después de servir en el ejército. Chomsky, en cambio, había nacido en Estados Unidos, en el seno de una familia judía ucraniano-bielorrusa llegada al país en 1913. Los dos se encontraron, ciertamente, no solo porque compartían una pasión intelectual, sino también porque compartían una historia, unos orígenes. Es interesante, para empezar, contemplar los primeros minutos de un video de la conferencia que se celebró en honor a Morris Halle en 2013, cuando cumplió 90 años. La presentación del homenajeado corre a cargo de su amigo de toda la vida, Noam, y nos ofrece una idea de cómo el entorno intelectual que describe ha tenido un papel esencial en la aventura intelectual de Noam Chomsky. Desde el momento en que llega al MIT, su vida se vincula ya para siempre a este prestigioso instituto de investigación. En él publica libros que han cambiado la historia","Chomsky",4
"de la lingüística y de las ciencias cognitivas y crea un programa de investigación que queda indisolublemente ligado a su nombre, hasta el punto de que se habla de «programa chomskiano» y de «lingüística chomskiana». Chomsky ha formado a generaciones enteras de lingüistas en su departamento en el MIT, desde hace tanto tiempo que algunos alumnos suyos ya están jubilados. Aún hoy, cada año, en septiembre, los nuevos estudiantes son recibidos por Chomsky y por su colega y amigo Morris Halle. Ambos les presentan el departamento, les cuentan que en los años cincuenta en el MIT había únicamente un laboratorio de electrónica, y cómo a partir de él se desarrollaría más adelante el departamento de lingüística. Si leemos la página personal de Chomsky en la web del MIT, encontraremos las siguientes áreas de interés: teoría lingüística, sintaxis, semántica y filosofía del lenguaje. Pero Noam Chomsky no es un académico interesado únicamente en complejos temas ligados al lenguaje; es también uno de los principales y más influyentes intelectuales vivos. Su trabajo científico, en más de setenta años de actividad, ha recorrido y dejado huella también en otros campos del saber en los que su influencia no resulta tan obvia: no solo en filosofía del lenguaje y ciencias cognitivas, sino también en ciencias de la computación y en la política. De entre todas sus actividades, es indudable que la lingüística ocupa un lugar muy destacado: su categoría epistemológica y nuestra comprensión del lenguaje humano han sido profundamente revolucionadas por sus investigaciones. Entre los conceptos que Chomsky ha creado o ha contribuido a desarrollar, se encuentra, en primer lugar el de lingüística o gramática generativa. El término «generativa» resulta esencial en el pensamiento de Chomsky: la gramática de una lengua, para proporcionar una descripción adecuada de la estructura de esta lengua, debe ser capaz de generar todas las frases que sean aceptables en ella, y únicamente las frases que sean aceptables. Esta definición general sirve tanto para las lenguas llamadas «naturales» (por ejemplo el español o el inglés), como para los lenguajes formales (por ejemplo, el de la lógica). En este contexto, por «generar» entendemos la producción de un cierto resultado a partir de cierta información previa a través de la aplicación de una regla, tal y como","Chomsky",5
"sucede en la operación «1+2=3», donde «1 y 2» serían la información previa,«+» la regla y «3» el resultado. La intuición fundamental de la que nace el pensamiento de Chomsky consiste en que la mente, para desarrollar la capacidad de producir y comprender frases de un idioma determinado, debe aplicar un algoritmo, ciertamente complejo, pero en esencia no muy diferente de una regla como la del ejemplo anterior. El de «gramática generativa» es el concepto crucial al que el nombre de Chomsky nos remite en primer lugar, pero no es el único hallazgo de este pensador: también está ligado a otros descubrimientos y a tomas de posición en un campo mucho más amplio de la lingüística. Por este motivo, en el capítulo «Filosofías, mente, ciencias cognitivas» abordaremos en detalle la relación entre el trabajo de Chomsky y el amplio espectro de las ciencias cognitivas. Se explicarán los conceptos necesarios para comprender las teorías relevantes en el trabajo de Chomsky, tanto las precedentes como las contemporáneas a sus propias investigaciones, y se constatará cómo el trabajo de Chomsky ha contribuido a crear, y tal vez ha originado por sí mismo, una verdadera revolución cognitiva en el campo de la lingüística en particular y de las ciencias humanas en general. En el capítulo «Lingüística» se afrontará directamente el tema de la gramática generativa, tanto en su particular acepción de «teoría de la sintaxis» como en la de «teoría general de la facultad del lenguaje»; se proporcionarán los conceptos necesarios para comprender el pensamiento de Chomsky sobre lingüística y nos detendremos en particular en el campo específico en el que ha concentrado (y sigue haciéndolo) sus esfuerzos de forma más activa: la sintaxis. El pensamiento lingüístico de Chomsky es la pieza fundamental de una filosofía que abarca, como se ha dicho, muchas otras disciplinas, y él mismo se ha encargado de mostrar cómo esta diversidad de campos del conocimiento se relaciona entre sí. Se presentarán los asuntos más técnicos desde una perspectiva tan práctica como sea posible, para facilitar la comprensión del concepto de «gramática generativa» y de sus presupuestos teóricos. Cabe recordar que Chomsky ha mostrado siempre un envidiable vigor intelectual, que se hace evidente, sobre todo, en su gran capacidad para revisar aspectos de sus propias","Chomsky",6
"teorías, sea para hacer frente a críticas recibidas o como reacción a la aparición de nuevos argumentos que permitan apoyarlas. El capítulo previo a las conclusiones, «Política y acción», presentará el pensamiento político y la visión sobre el ser humano de Chomsky; intentaremos ofrecer las claves de acceso a su pensamiento como persona, no sólo como científico. Se tratarán sus posiciones sobre las cuestiones que más le preocupan, como la política norteamericana o la educación, y se verá que también en este caso se establecen vínculos con sus estudios de lingüística, y que dichos vínculos estimulan profundamente su pensamiento sobre otros temas. Este es, en fin, el sentido último de su pensamiento: el lingüista y filósofo de Cambridge nos ha demostrado que el estudio del lenguaje (de sus constantes y de sus diferencias en los distintos idiomas del mundo) ilumina la mente del ser humano y afecta a nuestra visión de todas las cosas. Para Chomsky, el lenguaje no es sólo una forma de comunicación, ni algo que se aprende en la escuela: es un sistema cognitivo completo. Ayudarnos a reconocer la naturaleza de la facultad del lenguaje es el gran mérito de este estudioso. Estructuras sintácticas es el primer libro de Chomsky que tuvo una gran repercusión, y tal vez siga siendo aún hoy el más conocido. Puede considerárselo como una bomba intelectual, una gran prueba de argumentación científica y retórica de la ciencia que, lanzada en el campo de la lingüística y de la psicología, tuvo y todavía tiene profundos efectos para todo aquel que desee adentrarse en el estudio del lenguaje. El último artículo de Chomsky, sobre la evolución del lenguaje, apareció en el año 2014. En cuanto a sus intervenciones políticas, se publican constantemente libros que las recogen: uno de los últimos, una selección de textos sobre el pensamiento anarquista, apareció en 2015. Esta introducción a su pensamiento y a su obra pretende proporcionar los instrumentos para orientarse en el pensamiento de Chomsky, al menos entre los principales temas de los muchos sobre los que se ha pronunciado, de modo que el lector pueda adentrarse en esta aventura intelectual y, si lo desea, proseguir después su camino profundizando en la lectura y la comprensión de la obra chomskiana. Filosofía, mente, ciencias","Chomsky",7
"cognitivas Los principales temas en el pensamiento de Chomsky No es raro oír el nombre de Noam Chomsky asociado de manera exclusiva o bien a su trabajo como lingüista o bien a su actividad como pensador y comentarista político. Estos dos aspectos de su tarea intelectual, sin embargo, se encuentran estrechamente entrelazados, mucho más de lo que podría parecer a primera vista. Pensemos, por ejemplo, en lo que puede significar un estudio formal de la gramática como el que ha realizado Chomsky si ampliamos el foco y lo miramos desde una perspectiva más amplia: se trata de preguntas sobre la naturaleza del ser humano y sus procesos mentales; sobre si la capacidad de hablar una lengua es innata, es decir, si se encuentra ya en la mente del ser humano en el momento de su nacimiento, o si es adquirida, es decir, si se aprehende mediante la interacción con sus semejantes, que ya poseen dicha facultad desarrollada. Pensemos también en mi constante actividad de crítica y de documentación, por ejemplo, sobre las fuerzas que determinan la política exterior de los Estados Unidos, ligada a un esfuerzo permanente por aclarar la verdad de los hechos y por establecer las responsabilidades históricas y humanas. Considerar todos estos aspectos significa también plantearse si los derechos de los distintos pueblos tienen el mismo valor, así como qué relación existe entre los medios de comunicación (en cuyos discursos nos basamos para formarnos nuestras opiniones sobre el mundo), los hechos que explican y la interpretación que les dan. En resumen, significa, preguntarse qué es la realidad. La relación directa entre actividad política y filosofía tal vez sea tenue, como se pone de manifiesto en Chomsky, pero las pasiones que laten detrás de una obra están, a menudo, más relacionadas de lo que los temas concretos puedan sugerir. Si estos dos aspectos aparecen en la obra de Chomsky, estrechamente ligados a pesar de su diversidad, es debido a su pasión por la racionalidad, por la filosofía, por la argumentación y por la búsqueda de la verdad. Son pasiones filosóficas, de amor al conocimiento, a la explicación, a la formulación de cuestiones valientes e independientes. Sin comprender la pasión filosófica que late en Noam Chomsky resulta más complicado entender cómo ha podido alcanzar","Chomsky",8
"el lugar que ocupa entre los intelectuales vivos. Es justamente esa pasión la que ha llevado a cada una de sus ideas a afrontar cuestiones de gran importancia filosófica, como por ejemplo el eterno debate sobre el origen y la naturaleza de nuestro conocimiento, o el debate entre empirismo e innatismo, o incluso el debate sobre la estructura de nuestra mente. Por todos estos motivos, el presente capítulo se dedica a un estudio de los múltiples temas, relevantes desde el punto de vista filosófico, que ha tratado Chomsky. Algunos de ellos son directamente consustanciales a su pensamiento lingüístico, y nos servirán para facilitar la comprensión de la teoría de la gramática que se tratará en el siguiente capítulo; otros son problemas relacionados de manera más general con la filosofía y con aspectos ligados a la cognición humana: desde la crítica a la psicología conductista hasta los problemas filosóficos planteados por el proceso de adquisición del lenguaje humano, pasando por la relación entre naturaleza e instinto en el ser humano o incluso por las complejas relaciones de poder económico-político que determinan, entre otras cosas, el nacimiento y la muerte de un idioma. Cada uno de estos puntos tiene una historia particular que atraviesa la filosofía occidental, ya sea la filosofía teórica, la filosofía de la ciencia o incluso las más recientes ciencias cognitivas (reconocidas no hace mucho como disciplina autónoma). Y, asimismo, cada uno de ellos está guiado por la reflexión sobre qué significa que el ser humano conozca, sepa, piense, y sobre cómo nuestra mente realiza estas acciones; en otras palabras, cada uno de ellos se interroga sobre los límites de nuestra comprensión como seres humanos. Chomsky y las ciencias cognitivas Las ciencias cognitivas, como toda ciencia, nacen a partir de la formulación de un conjunto de preguntas, problemas y vías de investigación. El papel de la mente en todo proceso de interacción con el mundo y con sus semejantes es todavía uno de los aspectos más misteriosos de la naturaleza humana. El trabajo de Chomsky es especialmente relevante en este campo, en el que ha abierto nuevas perspectivas. No se ha centrado en estudiar cómo es el lenguaje, sino en por qué el lenguaje es de un modo y no de otro, lo que","Chomsky",9
"ya constituye de por sí una verdadera revolución cognitiva. Pero, además, a partir de ahí se ha preguntado no sólo cómo es un idioma concreto (por ejemplo, el español), sino por qué, a pesar de las innegables diferencias, el español funciona de manera bastante parecida al inglés o al chino. ¿Por qué nuestras facultades cognoscitivas nos permiten aprender un idioma? ¿Lo aprendemos de verdad, o en realidad ya lo conocíamos? Si la segunda hipótesis es cierta, eso significaría que nuestra mente está «programada» para la adquisición de la lengua, y que este «programa» está inscrito en algún nivel profundo de nuestra mente. Otro problema de naturaleza evidentemente cognitiva y que se deriva de la facultad del ser humano de aprender a hablar un idioma reside en el hecho de que todos aprendemos al menos una lengua durante nuestro crecimiento, y la aprendemos a la perfección, hasta el punto de llamarla «lengua materna». Sentimos que los errores que podamos cometer mientras la hablamos se deben a factores externos y no afectan a la cuestión crucial: que cuando conocemos una lengua estamos en disposición de juzgar si en esa lengua una frase es correcta o incorrecta. Es mucho más difícil, en cambio, aprender otra lengua de adultos, y la mayor parte de nosotros no llega a hacerlo. ¿Por qué? Si la lengua se aprende únicamente a partir de la experiencia que tenemos en el mundo desde que nacemos, ¿podemos justificar desde un punto de vista filosófico la innegable diferencia que apreciamos entre el aprendizaje de nuestra lengua materna y el de cualquier otra? Este es otro ejemplo del enfoque cognitivo al problema del lenguaje, uno de los muchos que Chomsky ha tenido el acierto de enmarcar en la lingüística y la filosofía. Y un ejemplo que conecta la actividad política de Chomsky con la ciencia cognitiva podría consistir en la pregunta sobre la naturaleza de la creatividad humana. ¿En qué sentido puede concebirse el ser humano como libre de restricciones? Cuando, por ejemplo, un hablante de español utiliza su idioma, está en disposición de expresar potencialmente cualquier cosa, incluso frases y palabras que no ha oído antes. Es a esta disposición a la que nos referimos con el término de «creatividad lingüística», la capacidad de crear, con","Chomsky",10
