"nombre","titulo_comentario","contenido_comentario"
"Restaurante Yanuba","Decepcionada del servicio","Vine con mi familia (16 personas) La comida se demoró demasiado, uno de los acompañamientos se había acabado y lo informaron al traer el plato y no antes, el acompañamiento de reemplazo se demoró también.
Yo pedí una simple ensalada de frutas y fue el...Más"
"Kfc","Pésimooooooooo","Soy clienta de KFC en si me parecía un buen servicio el día de ayer fui al centro comercial premium plaza en Medellin y pedí un combo personal dos presas con gaseosa y si preguntarme me despacharon un  muslo caliente y una pechuga que parecía...Más"
"Upper Side 81St Street","Servicio terrorifico","Sin duda este bar tiene un servicio pésimo, los meseros se toman 20 minutos para atender cada solicitud, las bebidas no son nada extraordinario, las sirven sin mezcladores, sin posa vasos, tuvimos que pararnos a pedir los mezcladores y una bebida que faltaba en la...Más"
"Takuma Cocina Show","Aparición sin Reserva","Fue la segunda vez que me acerque al restaurante, había solicitado una reserva hace más de 8 dias por la llegada de la gerente y un cumpleaños de una ejecutiva importante de la empresa. Se me ofreció como opción el segundo piso de modo privado...Más"
"Gordo Brooklyn","Terrible la Sobrebarriga con ""Naranja""","fue un sabado a almorzar, la atencion ok pero el plto estaba super ""acido"", le pregunte al mesero y su rerspuesta fue ""la carte tiene naranja"".  Con tal sorpresa que estaba mala y me dio gastroenteritis y sufri casi 5 dias.  Desafortnadamente para Gordo su...Más"
"Misia by Leo Espinosa Zona G","Las matemáticas son importantes para un buen servicio","La cuenta ascendía a $21.633.33, pagué con $51.600 para facilitar las cosas y que me volvieran $30.000. Pues no, resultaron devolviéndome 29.900 porque el “sistema” no deja devolver $30.000. Al final pagué sin propina para que no tuvieran problemas con el “sistema”"
"Julia","Grifo de agua, $4 de verdad? Incluso la botella parecía asqueroso","La pizza era un innovador, servicio 8/10 pero era 3/10, pero cuando se recibe una factura de $3 USD con agua del grifo, que te dejan sin palabras. Le pedí al camarero sobre el cargo y su respuesta fue ""tenemos un filtro francés, podemos mostrar...a usted"". Si vas a cobrar por el agua por lo menos vender una botella sellada con buen aspecto, no reutilizable, opaco, el agua del grifo en un ridículo margen de cata con un horrible excusa. Esto dice mucho sobre la administración y los propietarios. Gasta tu dinero en otro lugar. Hay otros restaurantes que cobran por el agua del grifo con la misma excusa, pero es un 0,1 - 0,15 USD, que es por lo menos razonable.Más"
"Leo","Pésimo, groseros en la atención","Reservamos por teléfono y dieron nuestra mesa a otra persona, nos dijeron que no nos ""dejaban en las mesas de arriba para que no estuviéramos solos y que teníamos que esperar porque mi esposa no estaba vestida para la ocasión"" ( veníamos de hacer compras...Más"
"Restaurante La Jugueteria Cedritos","No Volveria","El sitio es característico por su decoración, fuimos un grupo de mas de 10 personas a celebrar el cumpleaños de una amiga, la cuenta supero los 500 mil, y pedimos como cortesía nos dejaran comer la torta que uno de nosotros llevaba, la respuesta fue...Más"
"Al Agua Patos","Frío y mal servicio","Le invitamos a mi madre y mi tía. Nadie me explica qué Pato es. Ee vimos otras mesas, estaban confundidos. Éramos 6 personas, pero que nunca trajo un chocolate y un zumo. Sólo al final del desayuno, cuando le preguntamos a la camarera estaba loco...conmigo para pedir 2 veces y dijo ""no tengo idea""
llamado al gerente, que sólo escucharon y no decir nada.
Cualquiera puede cometer un error sino cómo decir lo siento o no cobrar el chocolate sin hacer una diferencia. Realmente no me importa, lugar lleno con una lista de horas de espera.Más"
"La Penela","Muy decepcionado","El servicio era bueno, bonito camareros y un lugar precioso. Por desgracia la paella era muy mala. la peor que podría haber comido.
Pedimos una ""paella"", que es marinero suponía que algunos mariscos, sin embargo, algunos de los platos, además tuve el arroz no estaba...bien preparado, la presentación muy mala y fría!

Hablamos con el gerente, que era grosero y según él en Colombia no sabemos qué es verdad! paella ! ! Y normalmente tiene sólo un 5% de proteína, en este caso de mariscos! Lo cual no es cierto!

De cualquier forma no ir allí otra vezMás"
"La Plaza de Andrés","De mi restaurante favorito a cero .. pa no volver","En este restaurante no le importa el servicio al cliente, en dos ocasiones se ha demorado la comida en horas de bajo tráfico y la comida llega fría. Aun cuando ellos hablan de servicio al cliente hacen llenar una encuesta para “mejorar el servicio” donde...Más"
"restaurante mirador la paloma","LADRONES ESTAFADORES","Cobran un COVER  de $30.000 por persona sin anunciarle al consumidor, en la
factura no detallan con precisiòn los costos, da pena que lleve uno a
extranjeros al sitio y por imagen del paìs no pueda uno protestar.
ANUNCIEN EL COVER AL CONSUMIDOR. ME SENTI...Más"
"Coctel del Mar","Muy Mal","Este restaurante anteriormente muy bueno 
Lastima el día de hoy total decepción 
Nos un pulpo reposado Frío 
Una paella calentada en horno supongo micro ondas medio frío con unos camarones no frescos 
Y nos dañaron  el apetito y la ilusión de comer riko en este...restaurante 
Que lastima. , perdieron la calidad 
Hasta NuncaMás"
